Q11536025|Mina Kuryu|UNKNOWN|REVIEW|AGE_PARTIAL+scope-ambiguous|ja-wiki lead: 「栗生 みな（くりゅう みな、8月16日 - ）は、長野県出身の女優、歌手である。」 - JP stage actress and singer (Nagano); the lead gives only the month and day of birth (no year) and documents no modeling activity; Wikidata year unconfirmed on the page|https://ja.wikipedia.org/wiki/%E6%A0%97%E7%94%9F%E3%81%BF%E3%81%AA
Q11579321|Yukari Shirai|UNKNOWN|REVIEW|AGE_PARTIAL|ja-wiki lead: 「白井 ゆかり（しらい ゆかり）は、日本の女性モデル、Seven-Promotion。」 - JP model (Seven-Promotion); the lead gives no birth date at all, so the Wikidata value is unconfirmed on the page|https://ja.wikipedia.org/wiki/%E7%99%BD%E4%BA%95%E3%82%86%E3%81%8B%E3%82%8A_(%E3%83%A2%E3%83%87%E3%83%AB)
Q11580778|Yuki Kudara|1987-05-05|PROMOTE|Modeling/music|ja-wiki lead: 「百済 友希（くだら ゆき、1987年5月5日 - ）は、広島県出身の日本の女性ファッションモデル・歌手・トップライナーである。」 - JP fashion model, singer and topliner (Hiroshima; legal name Yuki Mizutani per lead); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%99%BE%E6%B8%88%E5%8F%8B%E5%B8%8C
Q11581929|Misaki Aihara|1995-03-27|REVIEW|scope-ambiguous|ja-wiki lead: 「相原 美咲（あいはら みさき、1995年3月27日 - ）は、日本の元グラビアアイドル、元タレント。」 - JP former gravure idol and former tarento (Tokyo); all listed occupations are former and the lead documents no current public activity, so current creator status and handle currency cannot be confirmed from the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E7%9B%B8%E5%8E%9F%E7%BE%8E%E5%92%B2
Q11583031|Mana (真奈, model)|1994-01-16|PROMOTE|Gravure modeling/swimwear|ja-wiki lead: 「真奈（まな、1994年1月16日 - ）は、日本のグラビアアイドル。」 - JP gravure idol active under the mononym 真奈 Mana (legal name undisclosed per lead); gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%9C%9F%E5%A5%88
Q11584392|Mikiko Yano|1986-12-04|PROMOTE|Modeling|ja-wiki lead: 「矢野 未希子（やの みきこ、1986年12月4日 - ）は、日本の女性ファッションモデル。」 - JP fashion model, nickname Mikko; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%9F%A2%E9%87%8E%E6%9C%AA%E5%B8%8C%E5%AD%90
Q11584646|Tomoka (知華)|1986-12-04|REVIEW|scope-ambiguous|ja-wiki lead: 「知華（ともか、1986年12月4日 - ）は、日本の元ファッションモデル。」 - JP former fashion model active under the mononym 知華 Tomoka (Setagaya, Tokyo); all listed occupations are former and the lead documents no current public activity, so current creator status and handle currency cannot be confirmed from the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E7%9F%A5%E8%8F%AF
Q11585071|Mikako Ishii|1990-04-17|PROMOTE|Modeling|ja-wiki lead: 「石井 美絵子（いしい みかこ、1990年4月17日 - ）は、日本の女性ファッションモデル。」 - JP fashion model (Ibaraki); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%9F%B3%E4%BA%95%E7%BE%8E%E7%B5%B5%E5%AD%90
Q11585347|Yuri Ishizaka|1988-04-25|PROMOTE|Modeling/acting|ja-wiki lead: 「石坂 友里（いしざか ゆり、1988年4月25日 - ）は東京都出身のファッションモデル、女優。」 - JP fashion model and actress (Tokyo; Be Natural); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%9F%B3%E5%9D%82%E5%8F%8B%E9%87%8C
Q11589440|Mika Kagoshima|1986-05-17|PROMOTE|Modeling/motorsport/TV|ja-wiki lead: 「神子島 みか（かごしま みか、1986年5月17日 - ）は、日本のレーシングドライバー、ファッションモデル、タレント。」 - JP racing driver, fashion model and tarento (Kokubunji, Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%A5%9E%E5%AD%90%E5%B3%B6%E3%81%BF%E3%81%8B
Q11589512|Misa Kamio|1989-01-24|PROMOTE|Modeling|ja-wiki lead: 「神尾 美沙（かみお　みさ、1989年1月24日 - ）は、日本の女性ファッションモデルである。」 - JP fashion model (Tokyo; ECP); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%A5%9E%E5%B0%BE%E7%BE%8E%E6%B2%99
Q11591249|Hitomi Fukui|1986-09-28|PROMOTE|Modeling/business|ja-wiki lead: 「福井 仁美（ふくい ひとみ、1986年9月28日 - ）は、日本の実業家。」 - JP businesswoman (beauty-salon chain owner, founder and CEO of Hollywood Brow Lift) who worked as a tarento and model before retiring from entertainment per lead; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%A6%8F%E4%BA%95%E4%BB%81%E7%BE%8E
Q11594248|Moeko Fukuda|1987-06-26|PROMOTE|Modeling/TV|ja-wiki lead: 「福田 萌子（ふくだ もえこ、1987年6月26日 - ）は、日本のモデル、タレントである。」 - JP model and tarento (formerly DIVINE); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%A6%8F%E7%94%B0%E8%90%8C%E5%AD%90
Q11594855|Rena Akimoto|1985-07-05|REVIEW|scope-ambiguous|ja-wiki lead: 「秋元 玲奈（あきもと れな、1985年7月5日 - ）は、日本のフリーアナウンサー。」 - JP freelance announcer, formerly TV Tokyo; no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E7%A7%8B%E5%85%83%E7%8E%B2%E5%A5%88
Q11596529|Rinka Inagaki|2001-08-23|REVIEW|scope-ambiguous|ja-wiki lead: 「稲垣 鈴夏（いながき りんか、2001年8月23日 - ）は、日本の元アイドル、元タレント（元子役）。」 - JP former idol and former tarento (former child actress); no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E7%A8%B2%E5%9E%A3%E9%88%B4%E5%A4%8F
Q11598105|Junko Tateishi|1986-07-10|REVIEW|scope-ambiguous|ja-wiki lead: 「立石純子（たていし じゅんこ、1986年7月10日 - ）は、神奈川県出身（横浜市生まれ、秦野市育ち）の歌手、タレント。」 - JP singer and tarento (Sun Music; Kanagawa); no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E7%AB%8B%E7%9F%B3%E7%B4%94%E5%AD%90
Q11598742|Rina Unai (卯内里奈)|1992-05-12|REVIEW|scope-ambiguous|ja-wiki lead: 「卯内 里奈（うない りな、1992年5月12日 - ）は、日本の女優。」 - JP actress (Kobe); Wikidata English label Rinana, lead name 卯内里奈 Rina Unai; no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E5%8D%AF%E5%86%85%E9%87%8C%E5%A5%88
Q11599065|Seika Taketomi|1995-03-24|PROMOTE|Modeling/motorsport|ja-wiki lead: 「春花（はるか、1995年3月24日 - ）は、日本のドラッグレーサー、元女優、元ファッションモデル。」 - JP drag racer, former actress and former fashion model, now active under the mononym 春花 Haruka (former stage name 竹富聖花; name alias noted); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%98%A5%E8%8A%B1
Q11602555|Risa Sasaoka|1988-01-10|REVIEW|scope-ambiguous|ja-wiki lead: 「笹岡 莉紗（ささおか りさ、1988年1月10日 - ）は、日本の元女優・タレント・ファッションモデル。」 - JP former actress, tarento and fashion model (formerly LesPros Entertainment); all listed occupations are former and the lead documents no current public activity, so current creator status and handle currency cannot be confirmed from the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E7%AC%B9%E5%B2%A1%E8%8E%89%E7%B4%97
Q11603856|Hiromi Minoshima|1986-06-14|PROMOTE|Modeling/acting|ja-wiki lead: 「簑島 宏美（みのしま ひろみ、1986年6月14日 - ）は、日本の女性モデル、女優。」 - JP model and actress (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%B0%91%E5%B3%B6%E5%AE%8F%E7%BE%8E
Q11605962|Mana Hosokawa|1985-08-06|PROMOTE|Modeling|ja-wiki lead: 「細川 真奈（ほそかわ まな、1985年（昭和60年）8月6日 - ）は、日本のファッションモデル。」 - JP fashion model; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%B4%B0%E5%B7%9D%E7%9C%9F%E5%A5%88
Q11606133|Risa Hosoya|1997-03-19|PROMOTE|Modeling|ja-wiki lead: 「細谷 理紗（ほそや りさ、1997年3月19日 - ）は、日本の女性ファッションモデル。」 - JP fashion model (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%B4%B0%E8%B0%B7%E7%90%86%E7%B4%97
Q11606239|Yuri Konno|1987-02-12|PROMOTE|Modeling|ja-wiki lead: 「紺野 ゆり（こんの ゆり、1987年2月12日 - ）は、日本の女性ファッションモデル。」 - JP fashion model (Aichi); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%B4%BA%E9%87%8E%E3%82%86%E3%82%8A
Q11607835|Shizuka Midorikawa|1988-06-24|PROMOTE|Modeling/acting/TV|ja-wiki lead: 「緑川 静香（みどりかわ しずか、1988年6月24日 - ）は、日本の女優、タレント、ファッションモデル。」 - JP actress, tarento and fashion model; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%B7%91%E5%B7%9D%E9%9D%99%E9%A6%99
Q11608119|Canon Nawata|1988-09-28|PROMOTE|Modeling/acting|ja-wiki lead: 「縄田 カノン（なわた かのん、1988年9月28日 - ）は、日本の女優、モデルである。」 - JP actress and model (Hirakata, Osaka); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%B8%84%E7%94%B0%E3%82%AB%E3%83%8E%E3%83%B3
Q11608349|Chiho Oda|1986-09-03|PROMOTE|Modeling/radio|ja-wiki lead: 「織田 千穂（おだ ちほ、1986年9月3日 - ）は東京都港区出身のモデル、ラジオパーソナリティ。」 - JP model and radio personality (Minato, Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%B9%94%E7%94%B0%E5%8D%83%E7%A9%82
Q11608774|Miyu (美優, model)|1987-11-20|PROMOTE|Modeling|ja-wiki lead: 「美優（みゆ、1987年11月20日 - ）は、日本の女性ファッションモデル。」 - JP fashion model active under the mononym 美優 Miyu (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E7%BE%8E%E5%84%AA
Q11609105|Akari Mizuki|UNKNOWN|REVIEW|DOB_CONFLICT|ja-wiki lead: 「みづき あかり（旧芸名：美月 あかり〈読み同じ〉、1985年10月1日 - ）は、日本の、タレント、元グラビアアイドル。」 - JP tarento and former gravure idol (Iizuka, Fukuoka; former stage name 美月あかり); the ja-wiki lead gives a birth year two years earlier than the Wikidata value (same month and day) - trusted sources conflict, no value chosen; both values are adult|https://ja.wikipedia.org/wiki/%E3%81%BF%E3%81%A5%E3%81%8D%E3%81%82%E3%81%8B%E3%82%8A
Q11612159|Keiko Wakita|1992-07-23|PROMOTE|Modeling|ja-wiki lead: 「脇田 恵子（わきた けいこ、1992年7月23日 - ）は、日本の女性ファッションモデル。」 - JP fashion model (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%84%87%E7%94%B0%E6%81%B5%E5%AD%90
Q11613623|Aiku Maikawa|1988-08-17|PROMOTE|Modeling/photography/TV|ja-wiki lead: 「舞川 あいく（まいかわ あいく、1988年8月17日 - ）は、女性ファッションモデル、フォトグラファー、タレント。」 - JP fashion model, photographer and tarento (naturalised, Taiwanese-born per lead); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%88%9E%E5%B7%9D%E3%81%82%E3%81%84%E3%81%8F
Q11614041|Saki Funaoka|1993-03-02|PROMOTE|Gravure modeling/swimwear/acting|ja-wiki lead: 「船岡 咲（ふなおか さき、1993年3月2日 - ）は、日本の女優、グラビアアイドル、元女性ファッションモデル。」 - JP actress and gravure idol, former fashion model (Oscar Promotion); gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%88%B9%E5%B2%A1%E5%92%B2
Q11614874|Sachika Ashimura|1985-06-09|REVIEW|scope-ambiguous|ja-wiki lead: 「芦村 幸香（あしむら さちか、1985年6月9日 - ）は、日本の元ボートレーサー、タレント。」 - JP former boat racer and tarento (Shimonoseki); no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E8%8A%A6%E6%9D%91%E5%B9%B8%E9%A6%99
Q11616852|Reina Tomabechi|1986-07-19|PROMOTE|Modeling|ja-wiki lead: 「苫米地 玲奈（とまべち れな、1986年7月19日 - ）は、日本のファッションモデル。」 - JP fashion model (Aomori); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%8B%AB%E7%B1%B3%E5%9C%B0%E7%8E%B2%E5%A5%88
Q11618083|Mayu Kusakari|1993-04-20|PROMOTE|Modeling/acting|ja-wiki lead: 「草刈 麻有（くさかり まゆう、1993年4月20日 - ）は、日本の女優、ファッションモデル。」 - JP actress and fashion model (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%8D%89%E5%88%88%E9%BA%BB%E6%9C%89
Q11618382|Reira Arai|1994-09-25|PROMOTE|Modeling/acting/music|ja-wiki lead: 「荒井 玲良（あらい れいら、1994年9月25日 - ）は、日本の女優、女性アイドル、ファッションモデルである。」 - JP actress, idol and fashion model, former SUPER GiRLS member; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%8D%92%E4%BA%95%E7%8E%B2%E8%89%AF
Q11619198|Saki Sugawara|1986-03-13|PROMOTE|Modeling|ja-wiki lead: 「菅原 沙樹（すがわら さき、1986年3月13日 - ）は、日本の女性ファッションモデル。」 - JP fashion model (Idea); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%8F%85%E5%8E%9F%E6%B2%99%E6%A8%B9
Q11619260|Yukari Kanke|1989-07-30|PROMOTE|Modeling/acting|ja-wiki lead: 「菅家 ゆかり（かんけ ゆかり、1989年7月30日 - ）は、日本の女優、ファッションモデル。」 - JP actress and fashion model (Saitama); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%8F%85%E5%AE%B6%E3%82%86%E3%81%8B%E3%82%8A_(%E3%83%A2%E3%83%87%E3%83%AB)
Q11619956|Ayano Shobu|1995-05-07|PROMOTE|Modeling/acting/TV|ja-wiki lead: 「菖蒲 理乃（しょうぶ あやの、本名同じ、1995年5月7日 - ）は、東京都出身のモデル・女優・タレント。」 - JP model, actress and tarento (Tokyo; Horipro-affiliated agency Booth); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%8F%96%E8%92%B2%E7%90%86%E4%B9%83
Q11619974|Airu Nazuki|1991-06-27|REVIEW|scope-ambiguous|ja-wiki lead: 「菜月 アイル（なづき アイル、1991年6月27日 - ）は、日本の地下アイドル。」 - JP underground idol; no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E8%8F%9C%E6%9C%88%E3%82%A2%E3%82%A4%E3%83%AB
Q11620080|Hanae Yabe|1991-04-28|PROMOTE|Modeling/writing|ja-wiki lead: 「矢部 華恵（やべ はなえ、1991年4月28日 - ）は、日本のエッセイスト、モデル。」 - JP essayist and model; lead gives the full name 矢部華恵 Hanae Yabe, article title and Wikidata label are the mononym 華恵 Hanae (name alias noted); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%8F%AF%E6%81%B5
Q11621922|Ayumi Kura|1988-08-26|PROMOTE|Modeling|ja-wiki lead: 「藏 歩実（くら あゆみ、1988年8月26日 - ）は、日本のファッションモデル。」 - JP fashion model (Aichi); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%94%B5%E6%AD%A9%E5%AE%9F
Q11622216|Anna Sonoda|1988-05-23|PROMOTE|Modeling/TV/acting/pageant|ja-wiki lead: 「薗田 杏奈（そのだ あんな、1988年5月23日 - ）は、埼玉県所沢市出身のファッションモデル、タレント、女優。」 - JP fashion model, tarento and actress, Miss Universe Japan Saitama representative (Tokorozawa); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%96%97%E7%94%B0%E6%9D%8F%E5%A5%88
Q11624159|Natsuki Fujimoto|1990-10-28|PROMOTE|Modeling|ja-wiki lead: 「藤本 奈月（ふじもと なつき、1990年10月28日 - ）は、日本のファッションモデル。」 - JP fashion model (Fukuoka); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%97%A4%E6%9C%AC%E5%A5%88%E6%9C%88_(%E3%83%A2%E3%83%87%E3%83%AB)
Q11624414|Kana Fujimori|UNKNOWN|REVIEW|AGE_PARTIAL|ja-wiki lead: 「藤森 加奈（ふじもり かな）は、日本のファッションモデル・女優である。」 - JP fashion model and actress (Kagawa); the lead gives no birth date at all, so the Wikidata value is unconfirmed on the page|https://ja.wikipedia.org/wiki/%E8%97%A4%E6%A3%AE%E5%8A%A0%E5%A5%88
Q11624439|Mayu Fujimori|1988-11-11|PROMOTE|Modeling/acting/TV|ja-wiki lead: 「藤森 麻由（ふじもり まゆ、1988年11月11日 - ）は、日本の女優、タレント、ファッションモデル。」 - JP actress, tarento and fashion model (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%97%A4%E6%A3%AE%E9%BA%BB%E7%94%B1
Q11624827|Anna Fujita|1994-09-22|PROMOTE|Modeling/TV|ja-wiki lead: 「藤田 杏奈（ふじた あんな、1994年9月22日 - ）は、日本のファッションモデル、タレント。」 - JP fashion model and tarento (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%97%A4%E7%94%B0%E6%9D%8F%E5%A5%88
Q11625277|Yuka Konan|1989-07-10|PROMOTE|Modeling/music/TV/acting|ja-wiki lead: 「虎南 有香（こなん ゆか、1989年7月10日 - ）は、日本のファッションモデル、歌手、タレント、女優、元アイドル。」 - JP fashion model, singer, tarento and actress, former SOUL TIGER vocalist and Fudanjuku member; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%99%8E%E5%8D%97%E6%9C%89%E9%A6%99
Q11627886|Mai Nishiyama|1985-08-30|PROMOTE|Modeling|ja-wiki lead: 「西山 真以（にしやま まい、1985年8月30日 - ）は、日本の女性ファッションモデル。」 - JP fashion model (Nagoya); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%A5%BF%E5%B1%B1%E7%9C%9F%E4%BB%A5
Q11628017|Rima Nishizaki|1993-06-09|PROMOTE|Gravure modeling/swimwear/acting/TV|ja-wiki lead: 「西崎 莉麻（にしざき りま、1993年6月9日 - ）は、日本の女優、グラビアアイドル、タレント。」 - JP actress, gravure idol and tarento (Tokyo); gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%A5%BF%E5%B4%8E%E8%8E%89%E9%BA%BB
Q11628956|Ayana Nishinaga|1996-01-18|PROMOTE|Gravure modeling/swimwear/editorial|ja-wiki lead: 「西永 彩奈（にしなが あやな、1996年1月18日 - ）は、日本の雑誌編集者、元グラビアアイドル。」 - JP magazine editor and former gravure idol (Okayama); gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%A5%BF%E6%B0%B8%E5%BD%A9%E5%A5%88
Q11629251|Arisa Nishida|1993-01-08|PROMOTE|Modeling/TV|ja-wiki lead: 「西田 有沙（にしだ ありさ、1993年1月8日 - ）は、岐阜県出身の日本のファッションモデル、タレント。」 - JP fashion model and tarento (Gifu; formerly Avex Management); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%A5%BF%E7%94%B0%E6%9C%89%E6%B2%99
Q11629279|Miho Nishida|1986-02-01|PROMOTE|Gravure modeling/swimwear/TV|ja-wiki lead: 「西田 美歩（にしだ みほ、1986年2月1日 - ）は、日本のタレント、元モデル、元グラビアアイドル。」 - JP tarento, former model and former gravure idol; gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%A5%BF%E7%94%B0%E7%BE%8E%E6%AD%A9
Q11630174|Nao Kengaku|1985-07-27|PROMOTE|Modeling/TV|ja-wiki lead: 「見学 奈緒（けんがく なお、1985年7月27日 - ）は日本のファッションモデル、タレント、リポーター。」 - JP fashion model, tarento and reporter (Osaka); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%A6%8B%E5%AD%A6%E5%A5%88%E7%B7%92
Q11632646|Risa Taniuchi|1993-12-11|PROMOTE|Modeling/acting/music|ja-wiki lead: 「谷内 里早（たにうち りさ、1993年12月11日 - ）は、日本のファッションモデル、女優、 シンガーソングライター。」 - JP fashion model, actress and singer-songwriter (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%B0%B7%E5%86%85%E9%87%8C%E6%97%A9
Q11632740|Sayaka Taniguchi|1986-05-09|PROMOTE|Modeling|ja-wiki lead: 「谷口 紗耶香（たにぐち さやか、1986年5月9日 - ）は、日本の女性ファッションモデル。」 - JP fashion model (Hasuda, Saitama); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%B0%B7%E5%8F%A3%E7%B4%97%E8%80%B6%E9%A6%99
Q11632741|Sachi Kiriyama|1991-05-16|REVIEW|scope-ambiguous|ja-wiki lead: 「桐山 紗知（きりやま さち、本名：国吉 紗知代（くによし さちよ）、1991年5月16日 - ）は大阪府大阪市出身の日本のタレント。」 - JP tarento (Osaka; legal name Sachiyo Kuniyoshi per lead); no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E6%A1%90%E5%B1%B1%E7%B4%97%E7%9F%A5
Q11633974|Ellie Toyota|1989-01-14|PROMOTE|Modeling/acting|ja-wiki lead: 「豊田 エリー（とよた エリー、英：Ellie Toyota、1989年〈平成元年〉1月14日 - ）は、日本の女優、モデル。」 - JP actress and model; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%B1%8A%E7%94%B0%E3%82%A8%E3%83%AA%E3%83%BC
Q11635982|Naoko Akatani|1990-11-14|PROMOTE|Modeling|ja-wiki lead: 「赤谷 奈緒子（あかたに なおこ、1990年11月14日 - ）は、日本の女性ファッションモデル。」 - JP fashion model (TENCARAT Plume); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%B5%A4%E8%B0%B7%E5%A5%88%E7%B7%92%E5%AD%90
Q11636473|Mami Koshikawa|1992-11-14|PROMOTE|Modeling|ja-wiki lead: 「越川 真美（こしかわ まみ、1992年11月14日 - ）は、日本のギャルファッションモデル。」 - JP gyaru fashion model; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%B6%8A%E5%B7%9D%E7%9C%9F%E7%BE%8E
Q11638147|Mai Tsujimoto|1987-02-06|PROMOTE|Modeling/acting/art|ja-wiki lead: 「辻元 舞（つじもと まい、1987年〈昭和62年〉2月6日 - ）は、日本のファッションモデル、女優、アーティスト。」 - JP fashion model, actress and artist (Kyoto); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E8%BE%BB%E5%85%83%E8%88%9E
Q11639000|Narumi Konno|1988-09-18|REVIEW|scope-ambiguous|ja-wiki lead: 「近野 成美（こんの なるみ、1988年9月18日 - ）は、日本の女優、タレント。」 - JP actress and tarento (Niihama, Ehime); no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E8%BF%91%E9%87%8E%E6%88%90%E7%BE%8E
Q11642312|Hitomi Endo|1991-06-14|PROMOTE|Modeling/acting|ja-wiki lead: 「遠藤 瞳（えんどう ひとみ、1991年〈平成3年〉6月14日 - ）は、日本のファッションモデル、俳優。」 - JP fashion model and actor (Ibaraki); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E9%81%A0%E8%97%A4%E7%9E%B3
Q11642422|Chika Tono|1988-06-19|PROMOTE|Gravure modeling/swimwear/race queen/TV|ja-wiki lead: 「遠野 千夏（とおの ちか、1988年6月19日 - ）は、日本のタレント、グラビアアイドル、元レースクイーン。」 - JP tarento and gravure idol, former race queen (Hokkaido); gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E9%81%A0%E9%87%8E%E5%8D%83%E5%A4%8F
Q11644608|Satoumi (里海, model)|1986-03-30|PROMOTE|Modeling|ja-wiki lead: 「里海（さとうみ、1986年3月30日 - ）は、日本の女性ファッションモデル。」 - JP fashion model active under the mononym 里海 Satoumi (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E9%87%8C%E6%B5%B7_(%E3%83%A2%E3%83%87%E3%83%AB)
Q11644674|Akane Satomi|1989-11-24|PROMOTE|Modeling/yoga|ja-wiki lead: 「里見 茜（さとみ あかね、1989年11月24日 - ）は、日本のファッションモデル、ヨガインストラクター。」 - JP fashion model and yoga instructor (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E9%87%8C%E8%A6%8B%E8%8C%9C
Q11645258|Haruna Noro|1989-10-23|PROMOTE|Modeling/TV|ja-wiki lead: 「野呂 陽菜（のろ はるな、1989年10月23日 - ）は、日本の女性モデルタレント。」 - JP model-tarento (otaku senryu personality); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E9%87%8E%E5%91%82%E9%99%BD%E8%8F%9C
Q11645416|Moeka Nozaki|1990-02-10|PROMOTE|Modeling/TV/acting|ja-wiki lead: 「野崎 萌香（のざき もえか、1990年2月10日- ）は、日本の女性ファッションモデル、タレント、女優。」 - JP fashion model, tarento and actress (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E9%87%8E%E5%B4%8E%E8%90%8C%E9%A6%99
Q11645988|Ayaka Noda|1988-02-05|PROMOTE|Gravure modeling/swimwear/TV|ja-wiki lead: 「野田 彩加（のだ あやか、1988年2月5日 - ）は、日本のタレント、元グラビアアイドル。」 - JP tarento and former gravure idol (Saitama); gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E9%87%8E%E7%94%B0%E5%BD%A9%E5%8A%A0
Q11646286|Etsuko Kanagae|1985-12-24|REVIEW|scope-ambiguous|ja-wiki lead: 「金ケ江 悦子（かながえ えつこ、1985年12月24日 - ）は、日本のタレント、女優、リポーター、ナレーター、インストラクター。」 - JP tarento, actress, reporter, narrator and instructor; no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E9%87%91%E3%83%B6%E6%B1%9F%E6%82%A6%E5%AD%90
Q11646397|Miki Kanai|1996-09-10|PROMOTE|Modeling/acting|ja-wiki lead: 「金井 美樹（かない みき、1996年9月10日 - ）は日本のモデル、女優。」 - JP model and actress (Gunma); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E9%87%91%E4%BA%95%E7%BE%8E%E6%A8%B9_(1996%E5%B9%B4%E7%94%9F)
Q11648411|Aya Suzuki|1990-01-02|PROMOTE|Modeling/TV|ja-wiki lead: 「鈴木 あや（すずき あや、1990年1月2日 - ）は、日本のファッションモデル、タレント。」 - JP fashion model and tarento (A-Light); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E9%88%B4%E6%9C%A8%E3%81%82%E3%82%84
